586,I finish my REMARK MANAGER!!!,2018/5/7 17:17:38,,
604,Play pubg game,2018/5/16 15:56:55,,
615,"Stay up late for all night, just writing my gratuation article.",2018/5/18 23:18:01,,
621,fen4 bi3 ji2 shu1,2018/5/21 21:45:44,,
622,"play all day, work all night",2018/5/21 21:46:09,,
628,play all day.,2018/5/24 14:24:55,,
645,work hard to finish final paper.,2018/5/30 14:21:22,,
647,finally finish my paper.,2018/5/31 18:36:41,,
654,Make powerpoint.,2018/6/4 13:31:11,,
697,Get new mission.,2018/7/6 0:15:18,,
731,Machine learning,2018/7/23 12:41:03,,
733,&#xe6;&#x94;&#xaf;&#xe6;&#x8c;&#x81;&#xe4;&#xb8;&#xad;&#xe6;&#x96;&#x87;&#xe6;&#xb3;&#xa8;&#xe9;&#x87;&#x8a;&#xe3;&#x80;&#x82;,2018/7/25 13:26:26,,
734,Supported &#xe4;&#xb8;&#xad;&#xe8;&#x8b;&#xb1;&#xe6;&#x96;&#x87;&#xe6;&#xb7;&#xb7;&#xe5;&#x90;&#x88;&#xe6;&#xb3;&#xa8;&#xe9;&#x87;&#x8a;,2018/7/25 13:26:34,,
743,&#xe5;&#xad;&#xa6;&#xe4;&#xb9;&#xa0;tensorflow,2018/7/28 14:36:56,,
745,&#xe6;&#x95;&#xb0;&#xe6;&#x8d;&#xae;&#xe5;&#xba;&#x93;&#xe5;&#xa4;&#x87;&#xe4;&#xbb;&#xbd;&#xe8;&#xbf;&#x98;&#xe5;&#x8e;&#x9f;&#xe9;&#x97;&#xae;&#xe9;&#xa2;&#x98;&#xe5;&#xb7;&#xb2;&#xe8;&#xa7;&#xa3;&#xe5;&#x86;&#xb3;&#xe3;&#x80;&#x82;,2018/8/5 15:40:23,,
757,&#xe6;&#x9c;&#x80;&#xe5;&#x90;&#x8e;&#xe4;&#xb8;&#x80;&#xe6;&#xac;&#xa1;&#xe8;&#x8a;&#xb1;&#xe6;&#x97;&#xb6;&#xe9;&#x97;&#xb4;&#xe6;&#x8a;&#x8a;3.10.7&#xe5;&#x8d;&#x87;&#xe7;&#xba;&#xa7;&#xe5;&#x88;&#xb0;&#xe4;&#xba;&#x86;3.11.1&#xe3;&#x80;&#x82;&#xe8;&#xbf;&#x99;&#xe4;&#xb8;&#xaa;&#xe6;&#x89;&#xbf;&#xe8;&#xbd;&#xbd;&#xe7;&#x9d;&#x80;&#xe6;&#x88;&#x91;&#xe6;&#xa2;&#xa6;&#xe6;&#x83;&#xb3;&#xe7;&#x9a;&#x84;&#xe8;&#xbd;&#xaf;&#xe4;&#xbb;&#xb6;&#xe5;&#xba;&#x94;&#xe8;&#xaf;&#xa5;&#xe5;&#xb0;&#xb1;&#xe8;&#xbf;&#x99;&#xe6;&#xa0;&#xb7;&#xe5;&#x81;&#x9c;&#xe6;&#xad;&#xa2;&#xe7;&#xbb;&#xb4;&#xe6;&#x8a;&#xa4;&#xe4;&#xba;&#x86;&#xe5;&#x90;&#xa7;&#xe2;&#x80;&#xa6;&#xe2;&#x80;&#xa6;&#xe5;&#x94;&#x89;,2018/8/13 17:30:56,,
758,&#xe8;&#xa2;&#xab;&#xe8;&#xbf;&#xab;&#xe5;&#x9b;&#xa0;&#xe4;&#xb8;&#xba;&#xe8;&#xbf;&#x99;&#xe4;&#xb8;&#xaa;&#xe5;&#xba;&#x8f;&#xe5;&#x8f;&#xb7;&#xe7;&#x9a;&#x84;&#xe4;&#xba;&#x8b;&#xe6;&#x83;&#x85;&#xe6;&#x8a;&#x98;&#xe8;&#x85;&#xbe;&#xe4;&#xba;&#x86;&#xe4;&#xb8;&#x80;&#xe5;&#xa4;&#xa9;&#xef;&#xbc;&#x8c;&#xe4;&#xb9;&#x9f;&#xe6;&#xb2;&#xa1;&#xe5;&#xbc;&#x84;&#xe5;&#xa5;&#xbd;&#xe8;&#xbf;&#x98;&#xe8;&#xbf;&#x98;&#xe5;&#x8e;&#x9f;&#xe4;&#xba;&#x86;&#xe7;&#x94;&#xb5;&#xe8;&#x84;&#x91;&#xef;&#xbc;&#x8c;&#xe8;&#xa3;&#x85;&#xe5;&#x9b;&#x9e;&#xe4;&#xba;&#x86;VS,2018/8/14 20:13:17,,
761,&#xe8;&#xbf;&#x98;&#xe8;&#xa2;&#xab;&#xe8;&#xbf;&#x99;&#xe4;&#xb8;&#xaa;mdf&#xe7;&#x99;&#xbb;&#xe5;&#xbd;&#x95;&#xe5;&#xa4;&#xb1;&#xe8;&#xb4;&#xa5;&#xe6;&#x90;&#x9e;&#xe4;&#xba;&#x86;&#xe4;&#xb8;&#x80;&#xe6;&#xb3;&#xa2;,2018/8/14 20:15:05,,
