1,2017/8/8 0:28:09,00:01.778,Log in.,
2,2017/8/8 0:29:37,00:00.947,Log in.,
3,2017/8/8 0:31:17,00:00.671,Log in.,
4,2017/8/8 0:38:37,00:00.496,Log in.,
5,2017/8/8 0:41:11,00:01.019,Log in.,
6,2017/8/8 0:41:28,00:00.447,Log in.,
7,2017/8/8 0:42:35,00:00.495,Log in.,
8,2017/8/8 11:03:59,00:07.951,Log in.,
9,2017/8/8 11:03:59,00:26.520,Log in.,
10,2017/8/8 11:04:52,00:02.148,Log in.,
11,2017/8/8 13:23:13,00:20.698,Log in.,
12,2017/8/8 13:26:03,00:00.596,Log in.,
13,2017/8/8 14:50:04,00:10.053,Log in.,
14,2017/8/8 14:50:15,00:15.577,Log in.,
15,2017/8/8 23:01:59,00:14.650,Log in.,
16,2017/8/8 23:05:06,00:00.740,Log in.,
17,2017/8/8 23:05:06,00:01.995,Log in.,
18,2017/8/8 23:30:34,00:11.444,Log in.,
19,2017/8/9 14:30:39,00:01.405,Log in.,
20,2017/8/9 14:38:15,00:11.201,Log in.,
21,2017/8/9 14:41:10,00:03.024,Log in.,
22,2017/8/9 14:41:24,00:02.726,Log in.,
23,2017/8/9 15:00:31,00:05.634,Log in.,
24,2017/8/9 15:00:40,00:00.387,Log in.,
25,2017/8/9 15:00:58,00:00.638,Log in.,
26,2017/8/9 15:04:26,00:00.877,Log in.,
27,2017/8/9 15:04:43,00:00.381,Log in.,
28,2017/8/9 15:04:57,00:00.520,Log in.,
29,2017/8/9 22:46:17,00:13.304,Log in.,
30,2017/8/9 23:05:31,00:28.847,Log in.,
31,2017/8/11 0:53:11,00:04.490,Log in.,
32,2017/8/11 1:02:38,00:04.984,Log in.,
33,2017/8/11 1:08:23,00:00.386,Log in.,
34,2017/8/11 11:45:16,00:00.964,Log in.,
35,2017/8/11 12:19:19,00:03.390,Log in.,
36,2017/8/11 12:19:31,00:00.507,Log in.,
37,2017/8/11 12:40:15,00:09.607,Log in.,
38,2017/8/11 13:47:25,00:12.662,Log in.,
39,2017/8/11 13:48:17,00:00.422,Log in.,
40,2017/8/11 13:48:43,00:00.372,Log in.,
41,2017/8/11 14:43:49,00:20.631,Log in.,
42,2017/8/11 14:44:49,00:01.818,Log in.,
43,2017/8/11 15:27:10,00:03.951,Log in.,
44,2017/8/11 15:27:26,00:00.555,Log in.,
45,2017/8/11 15:27:59,00:00.625,Log in.,
46,2017/8/11 15:28:56,00:00.541,Log in.,
47,2017/8/11 15:29:08,00:00.573,Log in.,
